,Desa/Kelurahan,Desa/Kelurahan Terluar,Kabupaten/Kota,Kecamatan,Ketinggian DPL (M),Koordinat Bujur,Koordinat Lintang,Lokasi,Luas (Ha),Provinsi,Status,Tipologi,_id
0,SEMELAGI BESAR,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","109,047260","1,002419",DESA SEMELAGI BESAR KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.572,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,1
1,SUNGAI DAUN,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","109,039646","1,013922",DESA SUNGAI DAUN KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.090,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,2
2,SUNGAI RUSA,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","109,018043","1,021554",DESA SUNGAI RUSA KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"975,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,3
3,PANGKALAN BEMBAN,Tidak,KABUPATEN SAMBAS,SELAKAU,"8,00","109,050941","1,041183",DESA PANGKALAN BEMBAN KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"6.700,00",KALIMANTAN BARAT,DESA,Kehutanan,4
4,SUNGAI NYIRIH,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","108,987724","1,045459",DESA SUNGAI NYIRIH KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"0,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,5
5,KUALA,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","108,962936","1,073380",DESA KUALA KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"650,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,6
6,PARIT BARU,Tidak,KABUPATEN SAMBAS,SELAKAU,"1,00","108,989181","1,074430",DESA PARIT BARU KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.175,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,7
7,TWI MENTIBAR,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","0,000000","0,000000",DESA TWI MENTIBAR KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.870,00",KALIMANTAN BARAT,DESA,Kehutanan,8
8,BENTUNAI,Tidak,KABUPATEN SAMBAS,SELAKAU,"1.400,00","109,038887","1,070577",DESA BENTUNAI KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.600,00",KALIMANTAN BARAT,DESA,Persawahan,9
9,PARIT KONGSI,Tidak,KABUPATEN SAMBAS,SELAKAU,"4,00","109,021820","1,057837",DESA PARIT KONGSI KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"929,00",KALIMANTAN BARAT,DESA,Kehutanan,10
10,GAYUNG BERSAMBUT,Tidak,KABUPATEN SAMBAS,SELAKAU,"0,00","0,000000","0,000000",DESA GAYUNG BERSAMBUT KECAMATAN SELAKAU KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"488,00",KALIMANTAN BARAT,DESA,Kehutanan,11
11,GELIK,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"11.000,00","109,063713","1,066929",DESA GELIK KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"979,00",KALIMANTAN BARAT,DESA,Persawahan,12
12,SERANGGAM,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"1,00","109,083973","1,066022",DESA SERANGGAM KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"3.260,00",KALIMANTAN BARAT,DESA,Persawahan,13
13,SELAKAU TUA,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"0,00","109,107601","1,059308",DESA SELAKAU TUA KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"6.439,00",KALIMANTAN BARAT,DESA,Persawahan,14
14,BUDUK SEMPADANG,Tidak,KABUPATEN SAMBAS,SELAKAU TIMUR,"4,50","109,180927","1,023572",DESA BUDUK SEMPADANG KECAMATAN SELAKAU TIMUR KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"15.650,00",KALIMANTAN BARAT,DESA,Kehutanan,15
15,PERAPAKAN,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","109,026115","1,164923",DESA PERAPAKAN KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.780,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,16
16,JELUTUNG,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"1.000,00","108,999412","1,136961",DESA JELUTUNG KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.616,00",KALIMANTAN BARAT,DESA,Persawahan,17
17,HARAPAN,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"2,00","108,983331","11,760240",DESA HARAPAN KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"407,56",KALIMANTAN BARAT,DESA,Persawahan,18
18,PENJAJAP,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"5,00","108,990638","1,172368",DESA PENJAJAP KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"450,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,19
19,PEMANGKAT KOTA,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","108,946163","1,141837",DESA PEMANGKAT KOTA KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"21,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,20
20,SEBATUAN,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","0,000000","0,000000",DESA SEBATUAN KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"27,25",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,21
21,GUGAH SEJAHTERA,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"0,00","0,000000","0,000000",DESA GUGAH SEJAHTERA KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"210,00",KALIMANTAN BARAT,DESA,Persawahan,22
22,LONAM,Tidak,KABUPATEN SAMBAS,PEMANGKAT,"45,00","61,713452","18,059404",DESA LONAM KECAMATAN PEMANGKAT KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.200,00",KALIMANTAN BARAT,DESA,Persawahan,23
23,SEBURING,Tidak,KABUPATEN SAMBAS,SEMPARUK,"4,00","109,049347","1,123050",DESA SEBURING KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.914,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,24
24,SEPADU,Tidak,KABUPATEN SAMBAS,SEMPARUK,"0,00","109,071231","1,124895",DESA SEPADU KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.772,25",KALIMANTAN BARAT,DESA,Persawahan,25
25,SEPINGGAN,Tidak,KABUPATEN SAMBAS,SEMPARUK,"4,00","109,090313","1,128299",DESA SEPINGGAN KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.460,00",KALIMANTAN BARAT,DESA,Persawahan,26
26,SEMPARUK,Tidak,KABUPATEN SAMBAS,SEMPARUK,"3,00","109,074207","1,180348",DESA SEMPARUK KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"1.300,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,27
27,SINGA RAYA,Tidak,KABUPATEN SAMBAS,SEMPARUK,"2,00","109,051956","1,172452",DESA SINGA RAYA KECAMATAN SEMPARUK KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"17.560,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,28
28,PARIT BARU,Tidak,KABUPATEN SAMBAS,SALATIGA,"4.559,00","108,969428","1,111853",DESA PARIT BARU KECAMATAN SALATIGA KABUPATEN SAMBAS PROVINSI KALIMANTAN BARAT,"2.500,00",KALIMANTAN BARAT,DESA,Pesisir/Nelayan,29
